main_rank,rank,source,model_type,feature_set,classifier,threshold_method,decision_threshold,n_features,model_path,val_accuracy,val_precision,val_recall,val_f1,val_auc,test_accuracy,test_precision,test_recall,test_f1,test_auc,selection_score,uses_age
21,37,ensemble_top_cnn_fusion,Fusion model,A_ensemble_cnn_probs_plus_mri_proxy,logistic_regression_robust,optimized_on_validation_f1,0.5700000000000001,16,/kaggle/working/oasis1_oasis2_alzheimer_cv_fusion/artifacts/ensemble_fusion_A_ensemble_cnn_probs_plus_mri_proxy_logistic_regression_robust.joblib,0.7619047619047619,0.725,0.7631578947368421,0.7435897435897436,0.7906178489702518,0.7096774193548387,0.7142857142857143,0.6666666666666666,0.6896551724137931,0.7689814814814816,0.7765094173560992,False
22,38,ensemble_top_cnn_fusion,Fusion model,A_ensemble_cnn_probs_plus_selected_mri_proxy,logistic_regression_robust,optimized_on_validation_f1,0.58,6,/kaggle/working/oasis1_oasis2_alzheimer_cv_fusion/artifacts/ensemble_fusion_A_ensemble_cnn_probs_plus_selected_mri_proxy_logistic_regression_robust.joblib,0.7619047619047619,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7917620137299771,0.7096774193548387,0.7142857142857143,0.6666666666666666,0.6896551724137931,0.7699074074074075,0.7752860411899314,False
23,39,extra_cnn_finetuning,MRI-only CNN improvement,mri_only_25d_extra_finetuned,convnext_tiny,default_threshold_0.50,0.5,MRI slices,/kaggle/working/oasis1_oasis2_alzheimer_cv_fusion/checkpoints/convnext_tiny_partial_unfreeze_last1_lr5e6.pt,0.7023809523809523,0.6585365853658537,0.7105263157894737,0.6835443037974683,0.8077803203661327,0.7311827956989247,0.7777777777777778,0.6222222222222222,0.691358024691358,0.7796296296296296,0.7705095153955334,False
24,40,ensemble_top_cnn_fusion,Fusion model,B_ensemble_cnn_probs_plus_selected_mri_proxy_plus_non_age_metadata,svc_rbf,default_threshold_0.50,0.5,9,/kaggle/working/oasis1_oasis2_alzheimer_cv_fusion/artifacts/ensemble_fusion_B_ensemble_cnn_probs_plus_selected_mri_proxy_plus_non_age_metadata_svc_rbf.joblib,0.7261904761904762,0.6829268292682927,0.7368421052631579,0.7088607594936709,0.7951945080091534,0.7204301075268817,0.7435897435897436,0.6444444444444445,0.6904761904761905,0.7694444444444445,0.7692943834545086,False
25,41,ensemble_top_cnn_fusion,Fusion model,B_ensemble_cnn_probs_plus_mri_proxy_plus_non_age_metadata,svc_rbf,default_threshold_0.50,0.5,19,/kaggle/working/oasis1_oasis2_alzheimer_cv_fusion/artifacts/ensemble_fusion_B_ensemble_cnn_probs_plus_mri_proxy_plus_non_age_metadata_svc_rbf.joblib,0.7142857142857143,0.6666666666666666,0.7368421052631579,0.7,0.7977688787185354,0.7311827956989247,0.75,0.6666666666666666,0.7058823529411765,0.7712962962962964,0.7684382151029747,False
26,42,ensemble_top_cnn_fusion,Fusion model,A_ensemble_cnn_probs_plus_mri_proxy,svc_rbf,optimized_on_validation_f1,0.31,16,/kaggle/working/oasis1_oasis2_alzheimer_cv_fusion/artifacts/ensemble_fusion_A_ensemble_cnn_probs_plus_mri_proxy_svc_rbf.joblib,0.7380952380952381,0.6666666666666666,0.8421052631578947,0.7441860465116279,0.7768878718535468,0.7311827956989247,0.717391304347826,0.7333333333333333,0.7252747252747253,0.7824074074074074,0.7670773242509711,False
27,43,ensemble_top_cnn_fusion,Fusion model,A_ensemble_cnn_probs_plus_selected_mri_proxy,logistic_regression_robust,default_threshold_0.50,0.5,6,/kaggle/working/oasis1_oasis2_alzheimer_cv_fusion/artifacts/ensemble_fusion_A_ensemble_cnn_probs_plus_selected_mri_proxy_logistic_regression_robust.joblib,0.7142857142857143,0.6590909090909091,0.7631578947368421,0.7073170731707317,0.7917620137299771,0.7204301075268817,0.7209302325581395,0.6888888888888889,0.7045454545454546,0.7699074074074075,0.7664285315622035,False
28,44,ensemble_top_cnn_fusion,Fusion model,A_ensemble_cnn_probs_plus_mri_proxy,logistic_regression_robust,default_threshold_0.50,0.5,16,/kaggle/working/oasis1_oasis2_alzheimer_cv_fusion/artifacts/ensemble_fusion_A_ensemble_cnn_probs_plus_mri_proxy_logistic_regression_robust.joblib,0.7142857142857143,0.6590909090909091,0.7631578947368421,0.7073170731707317,0.7906178489702518,0.7204301075268817,0.7209302325581395,0.6888888888888889,0.7045454545454546,0.7689814814814816,0.7656276162303957,False
29,45,basic_fusion_before_improvements,Fusion model,B_cnn_plus_mri_proxy_plus_non_age_metadata,gradient_boosting,default_threshold_0.50,0.5,17,/kaggle/working/oasis1_oasis2_alzheimer_cv_fusion/artifacts/fusion_B_cnn_plus_mri_proxy_plus_non_age_metadata_gradient_boosting.joblib,0.7261904761904762,0.6744186046511628,0.7631578947368421,0.7160493827160493,0.7854691075514874,0.6666666666666666,0.6944444444444444,0.5555555555555556,0.6172839506172839,0.7439814814814815,0.7646431901008559,False
30,46,ensemble_top_cnn_fusion,Fusion model,B_ensemble_cnn_probs_plus_selected_mri_proxy_plus_non_age_metadata,catboost,optimized_on_validation_f1,0.11,9,/kaggle/working/oasis1_oasis2_alzheimer_cv_fusion/artifacts/ensemble_fusion_B_ensemble_cnn_probs_plus_selected_mri_proxy_plus_non_age_metadata_catboost.joblib,0.7023809523809523,0.6274509803921569,0.8421052631578947,0.7191011235955056,0.7837528604118993,0.6989247311827957,0.6491228070175439,0.8222222222222222,0.7254901960784313,0.761574074074074,0.7643573393669811,False
31,47,ensemble_top_cnn_fusion,Fusion model,A_ensemble_cnn_probs_plus_mri_proxy,mlp_classifier,default_threshold_0.50,0.5,16,/kaggle/working/oasis1_oasis2_alzheimer_cv_fusion/artifacts/ensemble_fusion_A_ensemble_cnn_probs_plus_mri_proxy_mlp_classifier.joblib,0.7261904761904762,0.7027027027027027,0.6842105263157895,0.6933333333333334,0.7917620137299771,0.6774193548387096,0.7272727272727273,0.5333333333333333,0.6153846153846154,0.7671296296296296,0.762233409610984,False
32,48,ensemble_top_cnn_fusion,Fusion model,B_ensemble_cnn_probs_plus_mri_proxy_plus_non_age_metadata,mlp_classifier,default_threshold_0.50,0.5,19,/kaggle/working/oasis1_oasis2_alzheimer_cv_fusion/artifacts/ensemble_fusion_B_ensemble_cnn_probs_plus_mri_proxy_plus_non_age_metadata_mlp_classifier.joblib,0.7023809523809523,0.6666666666666666,0.6842105263157895,0.6753246753246753,0.7934782608695652,0.6774193548387096,0.7777777777777778,0.4666666666666667,0.5833333333333334,0.7870370370370371,0.7580321852060982,False
33,49,ensemble_top_cnn_fusion,Fusion model,B_ensemble_cnn_probs_plus_mri_proxy_plus_non_age_metadata,catboost,optimized_on_validation_f1,0.13,19,/kaggle/working/oasis1_oasis2_alzheimer_cv_fusion/artifacts/ensemble_fusion_B_ensemble_cnn_probs_plus_mri_proxy_plus_non_age_metadata_catboost.joblib,0.7023809523809523,0.6274509803921569,0.8421052631578947,0.7191011235955056,0.7705949656750573,0.6989247311827957,0.6491228070175439,0.8222222222222222,0.7254901960784313,0.7560185185185184,0.7551468130511917,False
34,50,ensemble_top_cnn_fusion,Fusion model,B_ensemble_cnn_probs_plus_selected_mri_proxy_plus_non_age_metadata,catboost,default_threshold_0.50,0.5,9,/kaggle/working/oasis1_oasis2_alzheimer_cv_fusion/artifacts/ensemble_fusion_B_ensemble_cnn_probs_plus_selected_mri_proxy_plus_non_age_metadata_catboost.joblib,0.7142857142857143,0.6842105263157895,0.6842105263157895,0.6842105263157895,0.7837528604118993,0.6989247311827957,0.673469387755102,0.7333333333333333,0.7021276595744681,0.761574074074074,0.7538901601830663,False
35,51,ensemble_top_cnn_fusion,Fusion model,A_ensemble_cnn_probs_plus_selected_mri_proxy,svc_rbf,optimized_on_validation_f1,0.25,6,/kaggle/working/oasis1_oasis2_alzheimer_cv_fusion/artifacts/ensemble_fusion_A_ensemble_cnn_probs_plus_selected_mri_proxy_svc_rbf.joblib,0.7380952380952381,0.6666666666666666,0.8421052631578947,0.7441860465116279,0.7562929061784897,0.7204301075268817,0.6938775510204082,0.7555555555555555,0.723404255319149,0.7782407407407407,0.752660848278431,False
